[yuchang@lxplus029 10024.0_TTbar_13+TTbar_13TeV_TuneCUETP8M1_2017_GenSimFull+DigiFull_2017+RecoFull_2017+ALCAFull_2017+HARVESTFull_2017]$ edmDumpEventContent step3_inMINIAODSIM.root
Type                                  Module                      Label             Process   
vector<reco::Conversion>              "reducedEgamma"             "reducedConversions"   "RECO"    
vector<reco::Conversion>              "reducedEgamma"             "reducedSingleLegConversions"   "RECO"    
vector<reco::GenJet>                  "slimmedGenJets"            ""                "RECO"    
vector<reco::GenJet>                  "slimmedGenJetsAK8"         ""                "RECO"    
vector<reco::GenParticle>             "prunedGenParticles"        ""                "RECO"    
vector<reco::GsfElectronCore>         "reducedEgamma"             "reducedGedGsfElectronCores"   "RECO"    
vector<reco::PhotonCore>              "reducedEgamma"             "reducedGedPhotonCores"   "RECO"    
vector<reco::SuperCluster>            "reducedEgamma"             "reducedSuperClusters"   "RECO"    
vector<reco::Vertex>                  "offlineSlimmedPrimaryVertices"   ""                "RECO"    
vector<reco::VertexCompositePtrCandidate>    "slimmedSecondaryVertices"   ""                "RECO"    
unsigned int                          "bunchSpacingProducer"      ""                "RECO"
